Localidad,xwgs84,ywgs84
BARRIOS UNIDOS,-74.07355161,4.669566934
TEUSAQUILLO,-74.08576902,4.641173587
CHAPINERO,-74.05394052,4.658342731
BOSA,-74.19438864,4.621782259
KENNEDY,-74.15265822,4.630330723
PUENTE ARANDA,-74.11158023,4.616245471
LOS MARTIRES,-74.08794787,4.607155935
SANTA FE,-74.07137688,4.601236944
FONTIBON,-74.1401513,4.678182924
ENGATIVA,-74.11318768,4.701125534
USAQUEN,-74.03542046,4.735181476
SUBA,-74.07377183,4.74532831
ANTONIO NARIÃ‘O,-74.1028424,4.588770675
SAN CRISTOBAL,-74.0879125,4.554746908
CANDELARIA,-74.0720708,4.596605075
TUNJUELITO,-74.13598945,4.574841398
CIUDAD BOLIVAR,-74.15003638,4.550150343
USME,-74.10957742,4.503950817
RAFAEL URIBE URIBE,-74.11332202,4.566447861
